국가,,,,,,,,
국가코드,디스플레이순서,,,,,,,
스페인,1,,,,,,,
그리스,2,,,,,,,
영국,3,,,,,,,
캄보디아,4,,,,,,,
알제리,5,,,,,,,
,,,,,,,,
고객,,,,,,,,
고객코드,디스플레이순서,,,,,,,
Santander,1,,,,,,,
NBG,2,,,,,,,
Postbank,3,,,,,,,
KB Prasac,4,,,,,,,
BEA,5,,,,,,,
,,,,,,,,
제품군,,,,,,,,
제품군코드,디스플레이순서,,,,,,,
환류기,1,,,,,,,
출금기,2,,,,,,,
입출금기,3,,,,,,,
TCR,4,,,,,,,
BTS,5,,,,,,,
,,,,,,,,
제품정보,,,,,,,,
제품코드,제품군코드,디스플레이순서,,,,,,
MX8200S,환류기,1,,,,,,
MX8200ST,환류기,2,,,,,,
MX5800,출금기,1,,,,,,
MX5800T,출금기,2,,,,,,
MX5600S,출금기,3,,,,,,
MX5600ST,출금기,4,,,,,,
,,,,,,,,
유닛그룹,,,,,,,,
유닛그룹코드,유닛그룹설명,디스플레이순서,,,,,,
CE,CE,1,,,,,,
MECAR/UNIT,MECAR/UNIT,2,,,,,,
BODY,BODY,3,,,,,,
System Part,System Part,4,,,,,,
기타옵션모듈,기타옵션모듈,5,,,,,,
,,,,,,,,
유닛,,,,,,,,
유닛코드,유닛그룹코드,유닛설명,디스플레이순서,,,,,
CE,CE,Control Unit,1,,,,,
OPL,MECAR/UNIT,Customer Monitor,1,,,,,
MCU,MECAR/UNIT,Card Reader,2,,,,,
,,,,,,,,
스펙항목,,,,,,,,
스펙항목코드,스펙항목명,스펙항목설명,,,,,,
S000001,OS,Operating System,,,,,,
S000002,MAIN_BOARD,Main Board,,,,,,
S000003,CPU,CPU,,,,,,
S000004,Generation,CPU Generation,,,,,,
S000005,RAM,RAM,,,,,,
S000006,HDD1st,HDD First,,,,,,
S000007,HDD2nd,HDD Second,,,,,,
S000008,ODD,ODD,,,,,,
S000009,MCU_TYPE,Card Reader Type,,,,,,
S000010,COM_IF,Communication Interface,,,,,,
S000011,ANTI-SKIMMING,Anti Skimming,,,,,,
S000012,ACT,Anti Card Trapping,,,,,,
S000013,ANTI-SHIMMING,Anti Catd Shimming,,,,,,
S000014,DISPLAY,Display Size,,,,,,
S000015,BRIGHTNESS,Brightness,,,,,,
S000016,TOUCH_SCREEN,Touch Screen,,,,,,
S000017,FUNCTION_KEY,Funtion Key,,,,,,
S000018,FUNCTION_KEY BRAILLE,Function Key Braille,,,,,,
S000019,PRIVACY_FILTER,Pricvacy Filter,,,,,,
,,,,,,,,
유닛 스펙항목 리스트,,,,,,,,
유닛코드,스펙항목코드,디스플레이순서,,,,,,
CE,S000001,1,,,,,,
CE,S000002,2,,,,,,
CE,S000003,3,,,,,,
CE,S000004,4,,,,,,
CE,S000005,5,,,,,,
CE,S000006,6,,,,,,
CE,S000007,7,,,,,,
CE,S000008,8,,,,,,
MCU,S000009,1,,,,,,
MCU,S000010,2,,,,,,
MCU,S000011,3,,,,,,
MCU,S000012,4,,,,,,
MCU,S000013,5,,,,,,
OPL,S000014,1,,,,,,
OPL,S000015,2,,,,,,
OPL,S000016,3,,,,,,
OPL,S000017,4,,,,,,
OPL,S000018,5,,,,,,
OPL,S000019,6,,,,,,
,,,,,,,,
스펙,,,,,,,,
스펙코드,스펙항목코드,스펙명,스펙설명,디스플레이순서,,,,
O000001,S000001,WIN10_2016,Windows10 2016,1,,,,
O000002,S000001,WIN10_2019,Windows10 2019,2,,,,
O000003,S000001,WIN10_2021,Windows10 2021,3,,,,
O000004,S000001,WIN10_2024,Windows10 2024,4,,,,
O000005,S000001,WINCE_5.0,Window CE 5.0,5,,,,
O000006,S000001,WINCE_6.0,Window CE 6.0,6,,,,
O000007,S000001,WINCE_7.0,Window CE 7.0,7,,,,
O000008,S000002,H310,H310,1,,,,
O000009,S000002,H110,H110,2,,,,
O000010,S000002,H610,H610,3,,,,
O000011,S000002,Q170,Q170,4,,,,
O000012,S000002,Q370,Q370,5,,,,
O000013,S000002,Q670,Q670,6,,,,
O000014,S000003,I5,I5,1,,,,
O000015,S000003,I7,I7,2,,,,
O000016,S000004,6th,6th,1,,,,
O000017,S000004,7th,7th,2,,,,
O000018,S000004,8th,8th,3,,,,
O000019,S000004,9th,9th,4,,,,
O000020,S000004,12th,12th,5,,,,
O000021,S000005,4GB,4GB,1,,,,
O000022,S000005,8GB,8GB,2,,,,
O000023,S000005,16Gb,16Gb,3,,,,
O000024,S000006,256GB,256GB,1,,,,
O000025,S000006,512GB,512GB,2,,,,
O000026,S000006,1TB,1TB,3,,,,
O000027,S000007,256GB,256GB,1,,,,
O000028,S000007,1TB,1TB,2,,,,
O000029,S000007,2TB,2TB,3,,,,
O000030,S000007,No Second HDD,No Second HDD,4,,,,
O000031,S000008,DVD-RW,DVD-RW,1,,,,
O000032,S000008,No ODD,No ODD,2,,,,
O000033,S000009,DIP,DIP,1,,,,
O000034,S000009,MOTOR,MOTOR,2,,,,
O000035,S000010,USB,USB,1,,,,
O000036,S000010,Serial,Serial,2,,,,
O000037,S000011,ASD,ASD,1,,,,
O000038,S000011,wo ASD,wo ASD,2,,,,
O000039,S000012,ACT,ACT,1,,,,
O000040,S000012,wo ACT,wo ACT,2,,,,
O000041,S000013,ASM,ASM,1,,,,
O000042,S000013,wo ASM,wo ASM,2,,,,
O000043,S000014,15 Inch,15 Inch,1,,,,
O000044,S000014,17 Inch,17 Inch,2,,,,
O000045,S000015,Normal,Normal Bright,1,,,,
O000046,S000015,High,High Bright,2,,,,
O000047,S000016,P-CAP,P-CAP,1,,,,
O000048,S000016,IR,IR,2,,,,
O000049,S000017,None,None,1,,,,
O000050,S000017,Support,Support,2,,,,
O000051,S000018,None,None,1,,,,
O000052,S000018,Support,Support,2,,,,
O000053,S000019,None,None,1,,,,
O000054,S000019,Support,Support,2,,,,
,,,,,,,,
유닛품번리스트,,,,,,,,
유닛품번코드,유닛코드,스펙해쉬코드,,,,,,
7090001215,CE,,,,,,,
7090001087,CE,,,,,,,
7090001172,CE,,,,,,,
5645000050,MCU,,,,,,,
5645000062,MCU,,,,,,,
5645000059,MCU,,,,,,,
7100000463,OPL,,,,,,,
7100000435,OPL,,,,,,,
7100000431,OPL,,,,,,,
7090001289,CE,,,,,,,
7090000982,CE,,,,,,,
7090001280,CE,,,,,,,
7090001286,CE,,,,,,,
7090001053,CE,,,,,,,
7090000972,CE,,,,,,,
7090001322,CE,,,,,,,
7100000429,OPL,,,,,,,
7100000378,OPL,,,,,,,
7100000487,OPL,,,,,,,
7100000377,OPL,,,,,,,
7100000492,OPL,,,,,,,
,,,,,,,,
유닛품번스펙정보,,,,,,,,
유닛품번코드,유닛코드,스펙항목코드,스펙코드,스펙항목명,스펙명,,,
7090001215,CE,S000001,O000002,OS,WIN10_2019,,,
7090001215,CE,S000002,O000008,MAIN_BOARD,H310,,,
7090001215,CE,S000003,O000014,CPU,I5,,,
7090001215,CE,S000004,O000019,Generation,9th,,,
7090001215,CE,S000005,O000022,RAM,8GB,,,
7090001215,CE,S000006,O000025,HDD1st,512GB,,,
7090001215,CE,S000007,O000028,HDD2nd,1TB,,,
7090001215,CE,S000008,O000031,ODD,DVD-RW,,,
7090001087,CE,S000001,O000002,OS,WIN10_2019,,,
7090001087,CE,S000002,O000011,MAIN_BOARD,Q170,,,
7090001087,CE,S000003,O000014,CPU,I5,,,
7090001087,CE,S000004,O000017,Generation,7th,,,
7090001087,CE,S000005,O000023,RAM,16Gb,,,
7090001087,CE,S000006,O000025,HDD1st,512GB,,,
7090001087,CE,S000007,O000030,HDD2nd,No Second HDD,,,
7090001087,CE,S000008,O000032,ODD,No ODD,,,
7090001172,CE,S000001,O000005,OS,WINCE_5.0,,,
7090001172,CE,S000002,O000012,MAIN_BOARD,Q370,,,
7090001172,CE,S000003,O000014,CPU,I5,,,
7090001172,CE,S000004,O000020,Generation,12th,,,
7090001172,CE,S000005,O000023,RAM,16Gb,,,
7090001172,CE,S000006,O000025,HDD1st,512GB,,,
7090001172,CE,S000007,O000027,HDD2nd,256GB,,,
7090001172,CE,S000008,O000031,ODD,DVD-RW,,,
5645000050,MCU,S000009,O000033,MCU_TYPE,DIP,,,
5645000050,MCU,S000010,O000035,COM_IF,USB,,,
5645000050,MCU,S000011,O000038,ANTI-SKIMMING,wo ASD,,,
5645000050,MCU,S000012,O000040,ACT,wo ACT,,,
5645000050,MCU,S000013,O000042,ANTI-SHIMMING,wo ASM,,,
5645000062,MCU,S000009,O000034,MCU_TYPE,MOTOR,,,
5645000062,MCU,S000010,O000036,COM_IF,Serial,,,
5645000062,MCU,S000011,O000037,ANTI-SKIMMING,ASD,,,
5645000062,MCU,S000012,O000039,ACT,ACT,,,
5645000062,MCU,S000013,O000041,ANTI-SHIMMING,ASM,,,
5645000059,MCU,S000009,O000034,MCU_TYPE,MOTOR,,,
5645000059,MCU,S000010,O000036,COM_IF,Serial,,,
5645000059,MCU,S000011,O000038,ANTI-SKIMMING,wo ASD,,,
5645000059,MCU,S000012,O000039,ACT,ACT,,,
5645000059,MCU,S000013,O000042,ANTI-SHIMMING,wo ASM,,,
7100000463,OPL,S000014,O000043,DISPLAY,15 Inch,,,
7100000463,OPL,S000015,O000045,BRIGHTNESS,Normal,,,
7100000463,OPL,S000016,O000047,TOUCH_SCREEN,P-CAP,,,
7100000463,OPL,S000017,O000049,FUNCTION_KEY,None,,,
7100000463,OPL,S000018,O000051,FUNCTION_KEY BRAILLE,None,,,
7100000463,OPL,S000019,O000054,PRIVACY_FILTER,Support,,,
7100000435,OPL,S000014,O000044,DISPLAY,17 Inch,,,
7100000435,OPL,S000015,O000046,BRIGHTNESS,High,,,
7100000435,OPL,S000016,O000048,TOUCH_SCREEN,IR,,,
7100000435,OPL,S000017,O000049,FUNCTION_KEY,None,,,
7100000435,OPL,S000018,O000051,FUNCTION_KEY BRAILLE,None,,,
7100000435,OPL,S000019,O000054,PRIVACY_FILTER,Support,,,
7100000431,OPL,S000014,O000043,DISPLAY,15 Inch,,,
7100000431,OPL,S000015,O000045,BRIGHTNESS,Normal,,,
7100000431,OPL,S000016,O000047,TOUCH_SCREEN,P-CAP,,,
7100000431,OPL,S000017,O000050,FUNCTION_KEY,Support,,,
7100000431,OPL,S000018,O000052,FUNCTION_KEY BRAILLE,Support,,,
7100000431,OPL,S000019,O000054,PRIVACY_FILTER,Support,,,
,,,,,,,,
제품품번정보,,,,,,,,
제품품번코드,제품명,국가코드,고객코드,제품코드,,,,
7224000941,SYSTEM:MX8200S:V2:CEN4_EX:SANTANDER:ES,스페인,Santander,MX8200S,,,,
7224000859,SYSTEM:MX8200S:CEN4_EX:NBG:GREECE,그리스,NBG,MX8200S,,,,
7224000997,SYSTEM:MX8200S:CEN-3:POST OFFICE:UK,영국,Postbank,MX8200S,,,,
7224000913,SYSTEM:MX8200S:BRM56:CEN3:KB:CAMBODIA,캄보디아,KB Prasac,MX8200S,,,,
7224000849,SYSTEM:MX8200S:H110:L-1:BEA:ALGERIA,알제리,BEA,MX8200S,,,,
7224001000,SYSTEM:MX8200S:CEN3:BRM54:NOTEMACHINE:GB,영국,Notemachine,MX8200S,,,,
7224000838,SYSTEM:MX8200SR:CEN4_EX:SANTANDER:ES,스페인,Santander,MX8200S,,,,
7224000640,"SYSTEM:MX8200SR:BRM56T,CSM60:CEN3:HSBC",영국,HSBC,MX8200S,,,,
7224000843,SYSTEM:MX8200SR:CEN4_EX:BBVA:ARGENTINA,아르헨티나,BBVA,MX8200S,,,,
7224001001,SYSTEM:MX8200SR:CEN-3:POST OFFICE:GB,영국,Postbank,MX8200S,,,,
7224000628,SYSTEM:MX8100QTN:H110:19INCH_OPL:CTBC:TW,대만,CTBC,MX8200S,,,,
7224000634,SYSTEM:MX8200QTN:VERTICAL_OPL19:FUBON:TW,대만,FUBON,MX8200S,,,,
7224001039,SYSTEM:MX8200QTN:H610:FUBON:TW,대만,FUBON,MX8200S,,,,
,,,,,,,,
제품BOM정보,,,,,,,,
제품품번코드,유닛코드,유닛품번코드,,,,,,
7224000941,CE,7090001215,,,,,,
7224000941,MCU,5645000059,,,,,,
7224000941,OPL,7100000463,,,,,,
7224000859,CE,7090001215,,,,,,
7224000859,OPL,7100000435,,,,,,
7224000859,MCU,5645000059,,,,,,
7224000997,CE,7090001087,,,,,,
7224000997,OPL,7100000431,,,,,,
7224000997,MCU,5645000050,,,,,,
7224000913,CE,7090001215,,,,,,
7224000913,OPL,7100000431,,,,,,
7224000913,MCU,5645000062,,,,,,
7224000849,CE,7090001172,,,,,,
7224000849,OPL,7100000463,,,,,,
7224000849,MCU,5645000062,,,,,,
7224001000,CE,7090001289,,,,,,
7224001000,OPL,7100000431,,,,,,
7224001000,MCU,5645000062,,,,,,
7224000838,CE,7090001087,,,,,,
7224000838,OPL,7100000429,,,,,,
7224000838,MCU,5645000062,,,,,,
7224000640,CE,7090000982,,,,,,
7224000640,OPL,7100000378,,,,,,
7224000640,MCU,5645000059,,,,,,
7224000843,CE,7090001280,,,,,,
7224000843,OPL,7100000429,,,,,,
7224000843,MCU,5645000062,,,,,,
7224001001,CE,7090001286,,,,,,
7224001001,OPL,7100000487,,,,,,
7224001001,MCU,5645000059,,,,,,
7224000628,CE,7090001053,,,,,,
7224000628,OPL,7100000377,,,,,,
7224000628,MCU,5645000059,,,,,,
7224000634,CE,7090000972,,,,,,
7224000634,OPL,7100000377,,,,,,
7224000634,MCU,5645000059,,,,,,
7224001039,CE,7090001322,,,,,,
7224001039,OPL,7100000492,,,,,,
7224001039,MCU,5645000059,,,,,,
